call_number,Unnamed: 0,street_number,street_name,lat,url
19-1,0,249,NORTH%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=249NORTH%20ST,%20Williamstown%20MA"
19-8,5,1832,NORTH%20HOOSAC%20RD,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=1832NORTH%20HOOSAC%20RD,%20Williamstown%20MA"
19-26,17,190,MAIN%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=190MAIN%20ST,%20Williamstown%20MA"
19-39,23,191,MAIN%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=191MAIN%20ST,%20Williamstown%20MA"
19-40,24,249,NORTH%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=249NORTH%20ST,%20Williamstown%20MA"
19-59,40,225,COLD%20SPRING%20RD,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=225COLD%20SPRING%20RD,%20Williamstown%20MA"
19-60,41,333,CHURCH%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=333CHURCH%20ST,%20Williamstown%20MA"
19-61,42,1832,NORTH%20HOOSAC%20RD,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=1832NORTH%20HOOSAC%20RD,%20Williamstown%20MA"
19-72,48,406,SCHOOL%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=406SCHOOL%20ST,%20Williamstown%20MA"
19-77,52,190,MAIN%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=190MAIN%20ST,%20Williamstown%20MA"
19-85,58,249,NORTH%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=249NORTH%20ST,%20Williamstown%20MA"
19-87,60,165,ADAMS%20RD,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=165ADAMS%20RD,%20Williamstown%20MA"
19-91,64,1832,NORTH%20HOOSAC%20RD,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=1832NORTH%20HOOSAC%20RD,%20Williamstown%20MA"
19-102,75,225,COLD%20SPRING%20RD,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=225COLD%20SPRING%20RD,%20Williamstown%20MA"
19-103,76,333,CHURCH%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=333CHURCH%20ST,%20Williamstown%20MA"
19-110,82,361,PARK%20ST,42.708144,"http://api.positionstack.com/v1/forward?access_key=51cb9ee9b367700ff496b642adf55d28&query=361PARK%20ST,%20Williamstown%20MA"
