,call_number,names,nums,white_oaks,lat,lon,geometry
0,19-17,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
1,19-23,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
2,19-28,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
3,19-42,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
4,19-62,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
5,19-73,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
6,19-74,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
7,19-82,BRIDGES_RD,,1,42.731103,-73.198242,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
8,19-92,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
9,19-118,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
10,19-125,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
11,19-148,SIMONDS_RD_+_SAND_SPRINGS_RD,,0,-73.2062723,42.7350599,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
12,19-174,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
13,19-176,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
14,19-185,SIMONDS_RD,,1,42.7316056,-73.2050909,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
15,19-187,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
16,19-194,NORTH_HOOSAC_RD,,1,42.72888,-73.198052,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
17,19-196,SAND_SPRINGS_RD,,1,42.734622,-73.203557,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
18,19-209,NORTH_HOOSAC_RD_+_COLE_AVE,,0,-73.1887216,42.7197615,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
19,19-215,WHITE_OAKS_RD,,1,42.736678,-73.193205,"MULTIPOINT (-73.19728600000001 42.7108078, -73.19719240000001 42.7107893)"
