,street_name,incident_count
0,COLD_SPRING_RD,1083
1,MAIN_ST,1025
2,NORTH_HOOSAC_RD,631
3,SIMONDS_RD,515
4,NORTH_ST,472
5,SPRING_ST,455
6,PARK_ST,368
7,CHURCH_ST,332
8,COLE_AVE,246
9,SCHOOL_ST,238
10,LONGVIEW_TER,192
11,HARWOOD_ST,187
12,NEW_ASHFORD_RD,179
13,HANCOCK_RD,161
14,WATER_ST,155
15,GALE_RD,145
16,SOUTHWORTH_ST,136
17,FRENIER_AVE,129
18,HILL_PROVINCE_RD,115
19,BRIDGES_RD,113
20,STRATTON_RD,112
21,GREEN_RIVER_RD,105
22,TACONIC_TRL,104
23,HAWTHORNE_RD,94
24,PINE_COBBLE_RD,85
25,PETERSBURG_RD,81
26,HOPPER_RD,79
27,LUCE_RD,79
28,ADAMS_RD,77
29,STONEY_LEDGE_RD,44
30,OBLONG_RD,40
31,HALL_ST,40
32,SOUTH_ST,39
33,SAND_SPRINGS_RD,38
34,NORTHWEST_HILL_RD,38
35,HENDERSON_RD,37
36,BULKLEY_ST,35
37,ELM_ST,33
38,SYNDICATE_RD,31
39,TOWN_OF_WILLIAMSTOWN,29
40,HOXSEY_ST,26
41,LATHAM_ST,21
42,KEEP_HILL_RD,21
43,BERLIN_RD,20
44,WOODLAWN_DR,20
45,LINDLEY_TER,19
46,WATERMAN_PL,19
47,SPRING_ST_MUNICIPAL_LOT,19
48,CHAPIN_HALL_DR,17
49,PINES_LODGE_PARK,15
50,MILL_ST,14
51,SLOAN_RD,13
52,ARNOLD_ST,13
53,WHITMAN_ST,13
54,STETSON_RD,12
55,BEE_HILL_RD,12
56,WHITE_OAKS_RD,12
57,MCLAIN_CT,11
58,LYNDE_LN,10
59,TACONTC_TRL,10
60,POTTER_RD,9
61,LINDEN_ST,8
62,MEACHAM_ST,8
63,MEADOW_ST,8
64,IDE_RD,8
65,CHESTNUT_ST,8
66,JOHN_ST,7
67,THORNLIEBANK_RD,7
68,SWEETBROOK_RD,6
69,STONE_HILL_RD,6
70,FOREST_RD,6
71,MAIN_ST_+_COLE_AVE,6
72,TORREY_WOODS_RD,5
73,BLAIR_RD,5
74,PINE_COBBLE,5
75,BALLOU_LN,5
76,COLE_AVE_+_MAIN_ST,5
77,MOORLAND_ST,5
78,LAB_CAMPUS_DR,4
79,BRESSETT_RD,4
80,MAY_ST,4
81,PINE_CORBLE_RD,4
82,SABIN_DR,4
83,STRATTON_ED,4
84,MASON_ST,4
85,MISSION_PARK_DR,4
86,COBBLEVIEW_RD,4
87,WALDEN_ST,4
88,THOMAS_ST,4
89,FIELD_PARK,4
